mjd,ks_mag,ks_err,z_mag,z_err,y_mag,y_err,j_mag,j_err,h_mag,h_err,seeing,exptime,skylevel,ellipticity,chi,ast_res_chisq,detected,filter
56160.069982,10.6921,0.0174,,,,,,,,,0.643,4.00,4185.45,0.0943,5.3200,1.3208,1,Ks
56160.070383,10.6336,0.0283,,,,,,,,,0.598,4.00,4181.82,0.0977,11.0900,1.6925,1,Ks
56172.106512,10.7931,0.0143,,,,,,,,,0.765,4.00,5387.65,0.1170,4.5700,1.6762,1,Ks
56172.106926,10.7490,0.0214,,,,,,,,,0.796,4.00,5379.41,0.1034,6.4900,0.5314,1,Ks
56173.068881,10.8527,0.0135,,,,,,,,,0.791,4.00,4867.30,0.0627,1.8600,0.2934,1,Ks
56173.069327,10.8127,0.0124,,,,,,,,,0.763,4.00,4858.18,0.0625,2.0600,1.0478,1,Ks
56173.134052,10.7301,0.0206,,,,,,,,,0.864,4.00,5240.48,0.0949,2.1200,3.4172,1,Ks
56173.134447,10.7335,0.0159,,,,,,,,,0.782,4.00,5245.65,0.0729,3.5600,1.9578,1,Ks
56174.147069,10.6824,0.0176,,,,,,,,,0.872,4.00,5124.92,0.0924,2.9200,3.2791,1,Ks
56174.147469,10.6494,0.0135,,,,,,,,,0.814,4.00,5120.89,0.0686,1.8300,0.5515,1,Ks
56175.127572,10.6394,0.0180,,,,,,,,,0.738,4.00,6110.51,0.0841,4.5700,0.8889,1,Ks
56175.127952,10.5740,0.0143,,,,,,,,,0.718,4.00,6105.31,0.0768,4.1300,0.4302,1,Ks
56177.083999,10.5908,0.0273,,,,,,,,,1.324,4.00,4564.29,0.0481,1.1200,8.3261,1,Ks
56177.084401,10.5633,0.0171,,,,,,,,,1.199,4.00,4565.15,0.0747,1.0600,2.6189,1,Ks
56178.040574,10.7161,0.0160,,,,,,,,,0.693,4.00,5127.73,0.0873,3.4300,0.4420,1,Ks
56178.041002,10.6401,0.0206,,,,,,,,,0.722,4.00,5131.06,0.0585,4.7000,0.5383,1,Ks
56184.056431,10.7596,0.0092,,,,,,,,,0.686,4.00,5551.31,0.0713,2.2100,0.9668,1,Ks
56184.056865,10.7403,0.0117,,,,,,,,,0.725,4.00,5509.92,0.0729,2.6800,0.2486,1,Ks
56185.111300,10.7147,0.0174,,,,,,,,,1.042,4.00,5696.84,0.0705,1.4300,3.6169,1,Ks
56185.111683,10.6866,0.0153,,,,,,,,,1.060,4.00,5688.68,0.0978,1.8900,2.8350,1,Ks
56186.025652,10.7295,0.0181,,,,,,,,,0.731,4.00,5640.41,0.2248,5.3900,3.2261,1,Ks
56186.026056,10.7797,0.0200,,,,,,,,,0.708,4.00,5635.23,0.2134,4.9900,0.4541,1,Ks
56187.000436,10.7185,0.0160,,,,,,,,,0.791,4.00,5466.12,0.0577,3.8000,3.1878,1,Ks
56187.000787,10.6910,0.0144,,,,,,,,,0.768,4.00,5471.81,0.0723,3.0700,1.3687,1,Ks
56187.048637,10.6593,0.0106,,,,,,,,,0.777,4.00,5505.58,0.0647,2.1100,0.0943,1,Ks
56187.049033,10.6385,0.0158,,,,,,,,,0.779,4.00,5520.56,0.0581,2.7700,0.5324,1,Ks
56187.095958,10.5974,0.0202,,,,,,,,,0.759,4.00,5974.62,0.0618,1.6700,1.7088,1,Ks
56187.096283,10.6117,0.0211,,,,,,,,,0.815,4.00,5769.96,0.0581,1.9600,0.1165,1,Ks
56188.096282,10.5803,0.0193,,,,,,,,,0.746,4.00,5715.17,0.0601,2.4600,0.1548,1,Ks
56188.096703,10.6095,0.0176,,,,,,,,,0.754,4.00,5708.53,0.0812,3.8200,15.2384,1,Ks
56189.095123,10.5934,0.0138,,,,,,,,,0.803,4.00,4511.40,0.0766,1.9800,4.3407,1,Ks
56189.095507,10.5756,0.0102,,,,,,,,,0.785,4.00,4517.65,0.0777,2.6100,2.2349,1,Ks
56190.111193,10.6605,0.0291,,,,,,,,,0.679,4.00,4793.10,0.1054,10.0300,0.7065,1,Ks
56190.111628,10.5524,0.0134,,,,,,,,,0.658,4.00,4797.50,0.0999,4.3800,0.1686,1,Ks
56196.049271,10.8162,0.0185,,,,,,,,,0.603,4.00,6025.13,0.0931,5.2700,0.1820,1,Ks
56196.049677,10.7421,0.0212,,,,,,,,,0.593,4.00,6011.28,0.0683,5.3300,1.0623,1,Ks
56196.999338,10.8090,0.0158,,,,,,,,,0.686,4.00,5230.33,0.0727,5.3100,2.1524,1,Ks
56196.999743,10.7875,0.0193,,,,,,,,,0.661,4.00,5235.98,0.0709,6.3500,0.2957,1,Ks
56198.025374,10.7161,0.0151,,,,,,,,,0.902,4.00,4534.95,0.0639,1.7300,0.0366,1,Ks
56198.025773,10.6769,0.0148,,,,,,,,,0.874,4.00,4541.94,0.0794,2.5500,0.4413,1,Ks
56199.008578,10.6435,0.0116,,,,,,,,,0.736,4.00,4952.18,0.0965,3.5700,0.6100,1,Ks
56199.008970,10.6157,0.0109,,,,,,,,,0.721,4.00,4937.64,0.0848,2.8000,2.8965,1,Ks
56200.003585,10.7851,0.0229,,,,,,,,,0.574,4.00,5529.07,0.1080,7.3200,1.1259,1,Ks
56200.003985,10.6544,0.0257,,,,,,,,,0.618,4.00,5512.08,0.0818,8.8500,7.1444,1,Ks
56200.050495,10.8138,0.0216,,,,,,,,,0.587,4.00,5611.47,0.1099,6.9700,2.5915,1,Ks
56200.050924,10.6095,0.0216,,,,,,,,,0.623,4.00,5600.89,0.0831,6.2400,0.2588,1,Ks
56201.017355,10.6869,0.0151,,,,,,,,,0.897,4.00,5013.60,0.0947,2.9000,4.9880,1,Ks
56201.017759,10.6250,0.0130,,,,,,,,,0.939,4.00,5002.69,0.0976,2.1200,3.3246,1,Ks
56208.011968,10.6921,0.0245,,,,,,,,,0.571,4.00,5002.25,0.0820,8.3600,1.9313,1,Ks
56208.012361,10.7411,0.0237,,,,,,,,,0.588,4.00,4988.29,0.0779,7.6500,0.6668,1,Ks
56210.009024,10.6503,0.0156,,,,,,,,,0.692,4.00,4726.96,0.0672,4.3000,0.3124,1,Ks
56210.009451,10.6714,0.0137,,,,,,,,,0.716,4.00,4744.52,0.0718,3.8600,0.4695,1,Ks
56211.010202,10.7635,0.0239,,,,,,,,,0.667,4.00,4757.06,0.0782,6.3400,0.2536,1,Ks
56211.010636,10.6743,0.0197,,,,,,,,,0.648,4.00,4744.42,0.0672,6.0100,0.3314,1,Ks
56212.010834,10.7663,0.0176,,,,,,,,,0.608,4.00,5758.90,0.0889,6.2800,1.5776,1,Ks
56213.005752,10.6250,0.0167,,,,,,,,,0.874,4.00,5089.62,0.0941,3.5700,1.9397,1,Ks
56213.006159,10.6377,0.0129,,,,,,,,,0.853,4.00,5091.98,0.0745,2.6300,0.0910,1,Ks
56218.005613,10.6191,0.0173,,,,,,,,,0.867,4.00,5996.69,0.0917,3.4600,0.6510,1,Ks
56218.005988,10.6178,0.0185,,,,,,,,,0.856,4.00,5986.78,0.0971,3.6000,1.6096,1,Ks
56223.012286,10.6253,0.0244,,,,,,,,,0.587,4.00,5660.73,0.0969,7.2700,5.1322,1,Ks
56223.012675,10.5841,0.0190,,,,,,,,,0.636,4.00,5660.38,0.1021,6.0300,0.7203,1,Ks
56224.018762,10.7806,0.0258,,,,,,,,,0.705,4.00,5544.27,0.0889,5.7400,4.4421,1,Ks
56224.019159,10.6087,0.0158,,,,,,,,,0.715,4.00,5467.15,0.0824,4.3400,0.5099,1,Ks
56225.008174,10.6167,0.0192,,,,,,,,,0.793,4.00,5902.73,0.0908,4.3100,0.9215,1,Ks
56225.008590,10.6007,0.0178,,,,,,,,,0.808,4.00,5911.69,0.0852,4.2200,2.9138,1,Ks
56353.360456,10.6556,0.0190,,,,,,,,,0.669,4.00,5977.46,0.0860,3.5400,0.6077,1,Ks
56353.362633,10.6008,0.0168,,,,,,,,,0.715,4.00,5899.57,0.0728,3.9500,0.0354,1,Ks
56363.373874,10.6108,0.0172,,,,,,,,,0.714,4.00,4828.65,0.0733,6.1100,1.6325,1,Ks
56363.374269,10.5670,0.0114,,,,,,,,,0.748,4.00,4831.20,0.0798,3.0200,0.2279,1,Ks
56381.376395,10.6838,0.0231,,,,,,,,,0.724,4.00,4417.71,0.1061,5.9200,4.0049,1,Ks
56381.377055,10.6004,0.0230,,,,,,,,,0.685,4.00,4426.48,0.0947,6.2300,1.7975,1,Ks
56418.414359,10.6859,0.0310,,,,,,,,,0.758,4.00,5703.58,0.1303,11.3800,0.4137,1,Ks
56418.414742,10.6022,0.0232,,,,,,,,,0.859,4.00,5713.56,0.2254,8.2600,0.4771,1,Ks
56419.406029,10.8059,0.0311,,,,,,,,,0.554,4.00,5737.12,0.1189,8.3100,1.0737,1,Ks
56419.406432,10.6551,0.0278,,,,,,,,,0.528,4.00,5729.00,0.1115,8.9600,1.9037,1,Ks
56422.412636,10.7116,0.0207,,,,,,,,,1.158,4.00,5969.38,0.1238,1.0100,1.0918,1,Ks
56422.413120,10.6934,0.0239,,,,,,,,,1.366,4.00,5978.50,0.0603,0.7500,7.2365,1,Ks
56424.396208,10.7429,0.0158,,,,,,,,,1.073,4.00,5105.04,0.0793,1.5200,6.8137,1,Ks
56424.396598,10.7306,0.0173,,,,,,,,,0.994,4.00,5105.60,0.0722,2.2600,7.5255,1,Ks
56469.343093,10.6539,0.0187,,,,,,,,,1.082,4.00,3901.01,0.0976,2.1400,2.8548,1,Ks
56469.343489,10.6661,0.0133,,,,,,,,,1.009,4.00,3912.62,0.0916,1.8500,9.8878,1,Ks
56480.036698,10.6643,0.0182,,,,,,,,,0.691,4.00,5530.32,0.1151,4.4400,0.4860,1,Ks
56480.037081,10.5748,0.0187,,,,,,,,,0.690,4.00,5519.00,0.1006,4.8200,0.9440,1,Ks
56486.073800,10.8007,0.0231,,,,,,,,,0.703,4.00,4736.23,0.0852,5.5800,0.8632,1,Ks
56486.074187,10.7426,0.0201,,,,,,,,,0.707,4.00,4722.80,0.1231,5.0500,0.1251,1,Ks
56511.023591,10.7321,0.0150,,,,,,,,,0.752,4.00,5554.93,0.0868,3.3500,0.6429,1,Ks
56511.023982,10.6754,0.0121,,,,,,,,,0.780,4.00,5541.08,0.0741,2.5400,1.8923,1,Ks
56563.007088,10.6127,0.0207,,,,,,,,,1.069,4.00,4646.90,0.0640,1.7400,0.5251,1,Ks
56563.007480,10.6084,0.0155,,,,,,,,,0.900,4.00,4655.67,0.0542,2.7700,1.6149,1,Ks
56564.010169,10.6185,0.0214,,,,,,,,,1.158,4.00,5391.62,0.0800,1.7800,2.1345,1,Ks
56564.010573,10.6164,0.0214,,,,,,,,,1.229,4.00,5394.79,0.1245,2.5900,2.3819,1,Ks
56715.377605,10.8591,0.0455,,,,,,,,,0.624,4.00,5193.92,0.0854,11.0500,0.1120,1,Ks
56715.378001,10.6886,0.0169,,,,,,,,,0.697,4.00,5200.65,0.0723,4.6800,2.3205,1,Ks
56720.369497,10.5808,0.0258,,,,,,,,,1.482,4.00,4849.52,0.0829,0.8000,1.8598,1,Ks
